"Year","Location Description","Data Source","Topic Description","Measure Description","Response","Data Value Type","Data Value","Low Confidence Limit","High Confidence Limit","Sample Size","Gender","Age","Race","Education"
"2018","Iowa","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","15.3","14.0","16.6","4622","Female","All Ages","All Races","All Grades"
"2017","Iowa","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","13.7","10.1","17.3","489","Overall","18 to 24 Years","All Races","All Grades"
"2017","Iowa","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","21.9","19.7","24.1","1734","Overall","25 to 44 Years","All Races","All Grades"
"2017","Iowa","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","19.0","17.3","20.7","2726","Overall","45 to 64 Years","All Races","All Grades"
"2017","Iowa","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","13.8","9.3","18.3","276","Overall","All Ages","Hispanic","All Grades"
"2017","Iowa","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","16.3","15.2","17.4","6729","Overall","All Ages","White","All Grades"
"2017","Iowa","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","17.1","16.0","18.2","7437","Overall","All Ages","All Races","All Grades"
"2017","Iowa","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","33.7","27.7","39.7","333","Overall","Age 20 and Older","All Races","< 12th Grade"
"2017","Iowa","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","9.3","7.9","10.7","2488","Overall","65 Years and Older","All Races","All Grades"
"2017","Iowa","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","13.0","11.8","14.2","4676","Overall","Age 20 and Older","All Races","> 12th Grade"
"2017","Iowa","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","22.6","20.6","24.6","2266","Overall","Age 20 and Older","All Races","12th Grade"
"2017","Iowa","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","32.7","26.8","38.6","323","Overall","Age 25 and Older","All Races","< 12th Grade"
"2017","Iowa","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","22.3","20.3","24.3","2154","Overall","Age 25 and Older","All Races","12th Grade"
"2017","Iowa","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","36.0","25.4","46.6","116","Overall","All Ages","African American","All Grades"
"2017","Iowa","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","13.3","12.1","14.5","4449","Overall","Age 25 and Older","All Races","> 12th Grade"
"2017","Iowa","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","*","*","*","*","Overall","All Ages","American Indian/Alaska Native","All Grades"
"2017","Iowa","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","12.2","4.5","19.9","83","Overall","All Ages","Asian/Pacific Islander","All Grades"
"2017","Iowa","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","18.5","17.0","20.0","3514","Male","All Ages","All Races","All Grades"
"2017","Iowa","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","15.8","14.3","17.3","3915","Female","All Ages","All Races","All Grades"
"2017","Iowa","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","18.1","15.4","20.8","1057","Female","18 to 44 Years","All Races","All Grades"
"2016","Iowa","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","16.7","15.5","17.9","7004","Overall","All Ages","All Races","All Grades"
"2016","Iowa","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","12.9","11.5","14.3","4272","Overall","Age 20 and Older","All Races","> 12th Grade"
"2016","Iowa","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","22.0","19.7","24.3","2256","Overall","Age 20 and Older","All Races","12th Grade"
"2016","Iowa","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","28.1","21.9","34.3","339","Overall","Age 20 and Older","All Races","< 12th Grade"
"2016","Iowa","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","13.0","11.6","14.4","4102","Overall","Age 25 and Older","All Races","> 12th Grade"
"2016","Iowa","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","21.8","19.5","24.1","2189","Overall","Age 25 and Older","All Races","12th Grade"
"2016","Iowa","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","28.3","22.1","34.5","331","Overall","Age 25 and Older","All Races","< 12th Grade"
"2016","Iowa","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","28.4","17.5","39.3","112","Overall","All Ages","African American","All Grades"
"2016","Iowa","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","*","*","*","*","Overall","All Ages","American Indian/Alaska Native","All Grades"
"2016","Iowa","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","16.4","15.2","17.6","6470","Overall","All Ages","White","All Grades"
"2016","Iowa","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","11.6","1.6","21.6","61","Overall","All Ages","Asian/Pacific Islander","All Grades"
"2016","Iowa","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","11.0","5.2","16.8","207","Overall","All Ages","Hispanic","All Grades"
"2016","Iowa","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","21.2","18.6","23.8","1380","Overall","25 to 44 Years","All Races","All Grades"
"2016","Iowa","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","15.5","11.3","19.7","374","Overall","18 to 24 Years","All Races","All Grades"
"2016","Iowa","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","18.4","16.5","20.3","2592","Overall","45 to 64 Years","All Races","All Grades"
"2016","Iowa","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","8.4","7.0","9.8","2658","Overall","65 Years and Older","All Races","All Grades"
"2016","Iowa","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","17.7","15.9","19.5","3102","Male","All Ages","All Races","All Grades"
"2016","Iowa","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","15.8","14.2","17.4","3902","Female","All Ages","All Races","All Grades"
"2016","Iowa","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","18.3","15.3","21.3","897","Female","18 to 44 Years","All Races","All Grades"
"2015","Iowa","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","18.1","16.7","19.5","6021","Overall","All Ages","All Races","All Grades"
"2015","Iowa","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","17.8","16.4","19.2","5615","Overall","All Ages","White","All Grades"
"2015","Iowa","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","15.5","7.4","23.6","140","Overall","All Ages","Hispanic","All Grades"
"2015","Iowa","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","17.9","16.0","19.8","2401","Overall","45 to 64 Years","All Races","All Grades"
"2015","Iowa","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","32.2","25.4","39.0","310","Overall","Age 20 and Older","All Races","< 12th Grade"
"2015","Iowa","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","9.7","7.9","11.5","2220","Overall","65 Years and Older","All Races","All Grades"
"2015","Iowa","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","22.1","19.5","24.7","1991","Overall","Age 20 and Older","All Races","12th Grade"
"2015","Iowa","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","13.8","12.2","15.4","3621","Overall","Age 20 and Older","All Races","> 12th Grade"
"2015","Iowa","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","28.3","21.9","34.7","299","Overall","Age 25 and Older","All Races","< 12th Grade"
"2015","Iowa","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","22.4","19.8","25.0","1930","Overall","Age 25 and Older","All Races","12th Grade"
"2015","Iowa","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","14.3","12.6","16.0","3483","Overall","Age 25 and Older","All Races","> 12th Grade"
"2015","Iowa","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","24.9","12.9","36.9","112","Overall","All Ages","African American","All Grades"
"2015","Iowa","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","*","*","*","*","Overall","All Ages","American Indian/Alaska Native","All Grades"
"2015","Iowa","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","*","*","*","*","Overall","All Ages","Asian/Pacific Islander","All Grades"
"2015","Iowa","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","18.6","13.4","23.8","292","Overall","18 to 24 Years","All Races","All Grades"
"2015","Iowa","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","23.7","20.6","26.8","1108","Overall","25 to 44 Years","All Races","All Grades"
"2015","Iowa","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","19.5","17.4","21.6","2612","Male","All Ages","All Races","All Grades"
"2015","Iowa","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","20.7","16.9","24.5","721","Female","18 to 44 Years","All Races","All Grades"
"2015","Iowa","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","16.7","14.8","18.6","3409","Female","All Ages","All Races","All Grades"
"2014","Iowa","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","18.5","17.3","19.7","7751","Overall","All Ages","All Races","All Grades"
"2014","Iowa","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","18.1","16.9","19.3","7228","Overall","All Ages","White","All Grades"
"2014","Iowa","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","30.7","24.8","36.6","435","Overall","Age 20 and Older","All Races","< 12th Grade"
"2014","Iowa","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","22.6","20.5","24.7","2557","Overall","Age 20 and Older","All Races","12th Grade"
"2014","Iowa","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","14.8","13.4","16.2","4632","Overall","Age 20 and Older","All Races","> 12th Grade"
"2014","Iowa","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","31.9","25.8","38.0","424","Overall","Age 25 and Older","All Races","< 12th Grade"
"2014","Iowa","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","14.5","13.1","15.9","4453","Overall","Age 25 and Older","All Races","> 12th Grade"
"2014","Iowa","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","22.6","20.5","24.7","2482","Overall","Age 25 and Older","All Races","12th Grade"
"2014","Iowa","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","25.3","15.1","35.5","106","Overall","All Ages","African American","All Grades"
"2014","Iowa","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","*","*","*","*","Overall","All Ages","American Indian/Alaska Native","All Grades"
"2014","Iowa","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","17.6","10.6","24.6","205","Overall","All Ages","Hispanic","All Grades"
"2014","Iowa","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","17.9","5.4","30.4","60","Overall","All Ages","Asian/Pacific Islander","All Grades"
"2014","Iowa","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","17.8","13.5","22.1","383","Overall","18 to 24 Years","All Races","All Grades"
"2014","Iowa","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","23.9","21.3","26.5","1526","Overall","25 to 44 Years","All Races","All Grades"
"2014","Iowa","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","19.6","17.9","21.3","3037","Overall","45 to 64 Years","All Races","All Grades"
"2014","Iowa","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","9.1","7.8","10.4","2805","Overall","65 Years and Older","All Races","All Grades"
"2014","Iowa","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","19.9","18.1","21.7","3245","Male","All Ages","All Races","All Grades"
"2014","Iowa","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","17.2","15.6","18.8","4506","Female","All Ages","All Races","All Grades"
"2014","Iowa","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","20.9","17.8","24.0","1039","Female","18 to 44 Years","All Races","All Grades"
"2013","Iowa","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","21.9","17.2","26.6","394","Overall","18 to 24 Years","All Races","All Grades"
"2013","Iowa","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","19.5","18.2","20.8","7983","Overall","All Ages","All Races","All Grades"
"2013","Iowa","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","19.7","18.4","21.0","7444","Overall","All Ages","White","All Grades"
"2013","Iowa","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","14.0","8.1","19.9","212","Overall","All Ages","Hispanic","All Grades"
"2013","Iowa","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","*","*","*","*","Overall","All Ages","American Indian/Alaska Native","All Grades"
"2013","Iowa","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","*","*","*","*","Overall","All Ages","Asian/Pacific Islander","All Grades"
"2013","Iowa","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","8.0","6.8","9.2","2867","Overall","65 Years and Older","All Races","All Grades"
"2013","Iowa","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","22.0","20.1","23.9","3110","Overall","45 to 64 Years","All Races","All Grades"
"2013","Iowa","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","23.4","20.8","26.0","1612","Overall","25 to 44 Years","All Races","All Grades"
"2013","Iowa","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","25.6","23.3","27.9","2719","Overall","Age 20 and Older","All Races","12th Grade"
"2013","Iowa","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","33.2","27.1","39.3","454","Overall","Age 20 and Older","All Races","< 12th Grade"
"2013","Iowa","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","14.1","12.7","15.5","4699","Overall","Age 20 and Older","All Races","> 12th Grade"
"2013","Iowa","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","31.1","25.1","37.1","437","Overall","Age 25 and Older","All Races","< 12th Grade"
"2013","Iowa","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","24.4","22.2","26.6","2638","Overall","Age 25 and Older","All Races","12th Grade"
"2013","Iowa","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","14.2","12.8","15.6","4506","Overall","Age 25 and Older","All Races","> 12th Grade"
"2013","Iowa","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","21.4","12.2","30.6","106","Overall","All Ages","African American","All Grades"
"2013","Iowa","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","22.5","20.6","24.4","3203","Male","All Ages","All Races","All Grades"
"2013","Iowa","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","16.6","15.0","18.2","4780","Female","All Ages","All Races","All Grades"
"2013","Iowa","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","20.5","17.4","23.6","1076","Female","18 to 44 Years","All Races","All Grades"
"2012","Iowa","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","18.1","16.9","19.3","7015","Overall","All Ages","All Races","All Grades"
"2012","Iowa","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","17.7","16.5","18.9","6500","Overall","All Ages","White","All Grades"
"2012","Iowa","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","8.5","7.2","9.8","2437","Overall","65 Years and Older","All Races","All Grades"
"2012","Iowa","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","19.5","17.7","21.3","2625","Overall","45 to 64 Years","All Races","All Grades"
"2012","Iowa","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","32.7","27.0","38.4","452","Overall","Age 20 and Older","All Races","< 12th Grade"
"2012","Iowa","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","21.6","19.4","23.8","2297","Overall","Age 20 and Older","All Races","12th Grade"
"2012","Iowa","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","14.8","13.4","16.2","4093","Overall","Age 20 and Older","All Races","> 12th Grade"
"2012","Iowa","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","31.7","26.1","37.3","439","Overall","Age 25 and Older","All Races","< 12th Grade"
"2012","Iowa","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","24.9","14.1","35.7","88","Overall","All Ages","African American","All Grades"
"2012","Iowa","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","15.2","13.8","16.6","3919","Overall","Age 25 and Older","All Races","> 12th Grade"
"2012","Iowa","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","20.4","18.3","22.5","2221","Overall","Age 25 and Older","All Races","12th Grade"
"2012","Iowa","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","*","*","*","*","Overall","All Ages","American Indian/Alaska Native","All Grades"
"2012","Iowa","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","17.0","9.9","24.1","223","Overall","All Ages","Hispanic","All Grades"
"2012","Iowa","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","5.2","0.1","10.3","62","Overall","All Ages","Asian/Pacific Islander","All Grades"
"2012","Iowa","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","23.5","21.0","26.0","1525","Overall","25 to 44 Years","All Races","All Grades"
"2012","Iowa","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","17.4","13.2","21.6","369","Overall","18 to 24 Years","All Races","All Grades"
"2012","Iowa","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","19.8","18.0","21.6","2871","Male","All Ages","All Races","All Grades"
"2012","Iowa","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","20.6","17.7","23.5","1030","Female","18 to 44 Years","All Races","All Grades"
"2012","Iowa","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","16.5","15.0","18.0","4144","Female","All Ages","All Races","All Grades"
"2011","Iowa","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","20.4","19.2","21.6","7327","Overall","All Ages","All Races","All Grades"
"2011","Iowa","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","19.9","18.6","21.2","6779","Overall","All Ages","White","All Grades"
"2011","Iowa","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","18.9","12.2","25.6","214","Overall","All Ages","Hispanic","All Grades"
"2011","Iowa","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","16.3","5.5","27.1","65","Overall","All Ages","Asian/Pacific Islander","All Grades"
"2011","Iowa","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","*","*","*","*","Overall","All Ages","American Indian/Alaska Native","All Grades"
"2011","Iowa","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","27.1","22.3","31.9","407","Overall","18 to 24 Years","All Races","All Grades"
"2011","Iowa","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","25.6","23.0","28.2","1644","Overall","25 to 44 Years","All Races","All Grades"
"2011","Iowa","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","20.4","18.6","22.2","2733","Overall","45 to 64 Years","All Races","All Grades"
"2011","Iowa","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","35.8","30.0","41.6","472","Overall","Age 20 and Older","All Races","< 12th Grade"
"2011","Iowa","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","7.1","5.7","8.5","2464","Overall","65 Years and Older","All Races","All Grades"
"2011","Iowa","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","23.9","21.7","26.1","2450","Overall","Age 20 and Older","All Races","12th Grade"
"2011","Iowa","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","15.8","14.3","17.3","4198","Overall","Age 20 and Older","All Races","> 12th Grade"
"2011","Iowa","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","32.8","27.0","38.6","455","Overall","Age 25 and Older","All Races","< 12th Grade"
"2011","Iowa","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","21.8","19.7","23.9","2362","Overall","Age 25 and Older","All Races","12th Grade"
"2011","Iowa","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","15.6","14.1","17.1","4011","Overall","Age 25 and Older","All Races","> 12th Grade"
"2011","Iowa","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","32.9","21.5","44.3","123","Overall","All Ages","African American","All Grades"
"2011","Iowa","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","22.2","20.3","24.1","2996","Male","All Ages","All Races","All Grades"
"2011","Iowa","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","24.3","21.2","27.4","1100","Female","18 to 44 Years","All Races","All Grades"
"2011","Iowa","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","18.6","17.0","20.2","4331","Female","All Ages","All Races","All Grades"
"2018","Kansas","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","8.2","7.1","9.3","3885","Overall","65 Years and Older","All Races","All Grades"
"2018","Kansas","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","19.5","17.9","21.1","3669","Overall","45 to 64 Years","All Races","All Grades"
"2018","Kansas","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","41.0","35.5","46.5","498","Overall","Age 20 and Older","All Races","< 12th Grade"
"2018","Kansas","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","22.2","20.1","24.3","2199","Overall","25 to 44 Years","All Races","All Grades"
"2018","Kansas","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","14.1","10.7","17.5","624","Overall","18 to 24 Years","All Races","All Grades"
"2018","Kansas","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","21.2","15.6","26.8","406","Overall","All Ages","African American","All Grades"
"2018","Kansas","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","12.4","11.4","13.4","6766","Overall","Age 25 and Older","All Races","> 12th Grade"
"2018","Kansas","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","23.5","21.4","25.6","2492","Overall","Age 25 and Older","All Races","12th Grade"
"2018","Kansas","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","12.1","11.1","13.1","7081","Overall","Age 20 and Older","All Races","> 12th Grade"
"2018","Kansas","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","39.0","33.5","44.5","476","Overall","Age 25 and Older","All Races","< 12th Grade"
"2018","Kansas","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","23.0","21.0","25.0","2614","Overall","Age 20 and Older","All Races","12th Grade"
"2018","Kansas","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","10.9","3.8","18.0","123","Overall","All Ages","Asian/Pacific Islander","All Grades"
"2018","Kansas","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","17.0","12.7","21.3","489","Overall","All Ages","Hispanic","All Grades"
"2018","Kansas","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","23.5","14.4","32.6","120","Overall","All Ages","American Indian/Alaska Native","All Grades"
"2018","Kansas","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","16.8","15.8","17.8","8952","Overall","All Ages","White","All Grades"
"2018","Kansas","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","17.2","16.2","18.2","10377","Overall","All Ages","All Races","All Grades"
"2018","Kansas","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","18.3","16.8","19.8","4773","Male","All Ages","All Races","All Grades"
"2018","Kansas","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","18.2","15.8","20.6","1388","Female","18 to 44 Years","All Races","All Grades"
"2018","Kansas","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","16.3","15.0","17.6","5593","Female","All Ages","All Races","All Grades"
"2017","Kansas","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","14.2","12.1","16.3","1381","Overall","18 to 24 Years","All Races","All Grades"
"2017","Kansas","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","19.0","17.9","20.1","7701","Overall","45 to 64 Years","All Races","All Grades"
"2017","Kansas","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","22.5","21.1","23.9","4827","Overall","25 to 44 Years","All Races","All Grades"
"2017","Kansas","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","17.4","16.7","18.1","20693","Overall","All Ages","All Races","All Grades"
"2017","Kansas","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","17.1","16.4","17.8","17821","Overall","All Ages","White","All Grades"
"2017","Kansas","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","15.9","13.0","18.8","866","Overall","All Ages","Hispanic","All Grades"
"2017","Kansas","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","6.4","3.2","9.6","248","Overall","All Ages","Asian/Pacific Islander","All Grades"
"2017","Kansas","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","40.7","32.4","49.0","259","Overall","All Ages","American Indian/Alaska Native","All Grades"
"2017","Kansas","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","12.9","12.2","13.6","13556","Overall","Age 25 and Older","All Races","> 12th Grade"
"2017","Kansas","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","24.0","20.1","27.9","826","Overall","All Ages","African American","All Grades"
"2017","Kansas","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","34.7","30.7","38.7","796","Overall","Age 25 and Older","All Races","< 12th Grade"
"2017","Kansas","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","24.3","22.8","25.8","4924","Overall","Age 25 and Older","All Races","12th Grade"
"2017","Kansas","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","24.2","22.8","25.6","5217","Overall","Age 20 and Older","All Races","12th Grade"
"2017","Kansas","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","12.5","11.8","13.2","14220","Overall","Age 20 and Older","All Races","> 12th Grade"
"2017","Kansas","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","8.8","8.0","9.6","6784","Overall","65 Years and Older","All Races","All Grades"
"2017","Kansas","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","35.5","31.6","39.4","846","Overall","Age 20 and Older","All Races","< 12th Grade"
"2017","Kansas","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","18.3","17.3","19.3","9683","Male","All Ages","All Races","All Grades"
"2017","Kansas","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","19.5","17.8","21.2","2990","Female","18 to 44 Years","All Races","All Grades"
"2017","Kansas","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","16.4","15.5","17.3","10997","Female","All Ages","All Races","All Grades"
"2016","Kansas","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","17.2","16.3","18.1","11548","Overall","All Ages","All Races","All Grades"
"2016","Kansas","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","16.5","15.6","17.4","10002","Overall","All Ages","White","All Grades"
"2016","Kansas","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","14.2","10.8","17.6","566","Overall","All Ages","Hispanic","All Grades"
"2016","Kansas","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","30.2","20.7","39.7","129","Overall","All Ages","American Indian/Alaska Native","All Grades"
"2016","Kansas","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","11.0","3.2","18.8","116","Overall","All Ages","Asian/Pacific Islander","All Grades"
"2016","Kansas","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","12.9","11.9","13.9","7379","Overall","Age 25 and Older","All Races","> 12th Grade"
